('Dloss', -0.0056933602120013945, 'Gloss:', 0.013894045253594717, 'MseLoss', 0.38444334189097085, 'FramLoss', 0.08879036068916321, ' epoch:', 0)
('Dloss', -0.005985158713574105, 'Gloss:', 0.015157074530919393, 'MseLoss', 0.1264974578221639, 'FramLoss', 0.09322769323984782, ' epoch:', 1)
('Dloss', -0.00578822116268442, 'Gloss:', 0.013975020249684651, 'MseLoss', 0.12040454387664795, 'FramLoss', 0.08722188711166382, ' epoch:', 2)
('Dloss', -0.005905402269452176, 'Gloss:', 0.014362062712510427, 'MseLoss', 0.11565532128016154, 'FramLoss', 0.07451051553090414, ' epoch:', 3)
('Dloss', -0.005642870203294652, 'Gloss:', 0.012836987872918447, 'MseLoss', 0.11033203442891439, 'FramLoss', 0.06708186229070028, ' epoch:', 4)
('Dloss', -0.005626189819675811, 'Gloss:', 0.012541199723879496, 'MseLoss', 0.1047232723236084, 'FramLoss', 0.06150943517684936, ' epoch:', 5)
('Dloss', -0.005625050911243925, 'Gloss:', 0.012330569823582967, 'MseLoss', 0.10017251253128051, 'FramLoss', 0.05925470193227132, ' epoch:', 6)
('Dloss', -0.005542819408026148, 'Gloss:', 0.01172121912240982, 'MseLoss', 0.09287877082824707, 'FramLoss', 0.05548498074213664, ' epoch:', 7)
('Dloss', -0.005524205043911934, 'Gloss:', 0.011407935718695323, 'MseLoss', 0.08798353830973307, 'FramLoss', 0.05359058817227681, ' epoch:', 8)
('Dloss', -0.005475089389910089, 'Gloss:', 0.010937940875689188, 'MseLoss', 0.08512758096059163, 'FramLoss', 0.053301270405451455, ' epoch:', 9)
('Dloss', -0.005508546618388054, 'Gloss:', 0.010882734457651774, 'MseLoss', 0.08171697537104289, 'FramLoss', 0.051630201737085976, ' epoch:', 10)
('Dloss', -0.00551268145283486, 'Gloss:', 0.010688757300376892, 'MseLoss', 0.07927340269088745, 'FramLoss', 0.05128504713376363, ' epoch:', 11)
('Dloss', -0.005490507454948223, 'Gloss:', 0.010347145895163218, 'MseLoss', 0.07794347604115805, 'FramLoss', 0.04853235363960266, ' epoch:', 12)
('Dloss', -0.005488701323245434, 'Gloss:', 0.010095062653223673, 'MseLoss', 0.07504826227823894, 'FramLoss', 0.04663728833198547, ' epoch:', 13)
('Dloss', -0.0054937445736945945, 'Gloss:', 0.009906311631202697, 'MseLoss', 0.07586622794469197, 'FramLoss', 0.04508238196372986, ' epoch:', 14)
('Dloss', -0.005528441134919512, 'Gloss:', 0.009834535866975785, 'MseLoss', 0.07454353332519531, 'FramLoss', 0.04476331273714702, ' epoch:', 15)
('Dloss', -0.005520078928229657, 'Gloss:', 0.009563327232996622, 'MseLoss', 0.07553006490071615, 'FramLoss', 0.044011061191558835, ' epoch:', 16)
('Dloss', -0.005486284164672202, 'Gloss:', 0.009143427312374115, 'MseLoss', 0.0710508131980896, 'FramLoss', 0.04332276264826457, ' epoch:', 17)
('Dloss', -0.005443143915939838, 'Gloss:', 0.00869809443751971, 'MseLoss', 0.0689847695827484, 'FramLoss', 0.041345723271369934, ' epoch:', 18)
('Dloss', -0.005401171902392773, 'Gloss:', 0.008239913632472355, 'MseLoss', 0.06860825459162394, 'FramLoss', 0.0410074790318807, ' epoch:', 19)
('Dloss', -0.005365271319417243, 'Gloss:', 0.007846732983986537, 'MseLoss', 0.06774841586748759, 'FramLoss', 0.04061895648638408, ' epoch:', 20)
('Dloss', -0.005323929157345853, 'Gloss:', 0.00769118919968605, 'MseLoss', 0.06657713532447815, 'FramLoss', 0.0403429114818573, ' epoch:', 21)
('Dloss', -0.005402391895334771, 'Gloss:', 0.007543736199537913, 'MseLoss', 0.06698269089063008, 'FramLoss', 0.03945016503334045, ' epoch:', 22)
('Dloss', -0.0053282984869277225, 'Gloss:', 0.007166500786940257, 'MseLoss', 0.0677626633644104, 'FramLoss', 0.03941253145535787, ' epoch:', 23)
('Dloss', -0.005514415337684307, 'Gloss:', 0.0077831553916136425, 'MseLoss', 0.06668665329615275, 'FramLoss', 0.03851136008898417, ' epoch:', 24)
('Dloss', -0.005491503336011095, 'Gloss:', 0.007215759207804998, 'MseLoss', 0.06456310709317525, 'FramLoss', 0.037668430010477705, ' epoch:', 25)
('Dloss', -0.0052955720890709695, 'Gloss:', 0.0060393195847670235, 'MseLoss', 0.06640641371409098, 'FramLoss', 0.03684141675631205, ' epoch:', 26)
('Dloss', -0.005365417120938605, 'Gloss:', 0.006031764795382818, 'MseLoss', 0.06420383056004843, 'FramLoss', 0.036876304149627684, ' epoch:', 27)
('Dloss', -0.005370283935298311, 'Gloss:', 0.00595315416653951, 'MseLoss', 0.06638658165931702, 'FramLoss', 0.037554587523142495, ' epoch:', 28)
('Dloss', -0.0055821759111069616, 'Gloss:', 0.006847566217184067, 'MseLoss', 0.06343826413154602, 'FramLoss', 0.03679312785466512, ' epoch:', 29)
('Dloss', -0.005511525978750371, 'Gloss:', 0.0060543757925430935, 'MseLoss', 0.0660924498240153, 'FramLoss', 0.0371002459526062, ' epoch:', 30)
('Dloss', -0.005421749692648015, 'Gloss:', 0.005525681599974633, 'MseLoss', 0.06484723806381226, 'FramLoss', 0.03679417808850606, ' epoch:', 31)
('Dloss', -0.005608693240804875, 'Gloss:', 0.006083400199810664, 'MseLoss', 0.06346990704536438, 'FramLoss', 0.03593493719895681, ' epoch:', 32)
('Dloss', -0.005546394260005748, 'Gloss:', 0.00552728404601415, 'MseLoss', 0.06049341758092244, 'FramLoss', 0.035337046186129255, ' epoch:', 33)
