EXP ID: 0
konvid
GSTVQA
Test results: test loss=0.0675, SROCC=0.8202, KROCC=0.6279, PLCC=0.8055, RMSE=0.3996
Test results: test loss=0.0664, SROCC=0.8460, KROCC=0.6525, PLCC=0.8214, RMSE=0.3968
Test results: test loss=0.0629, SROCC=0.8378, KROCC=0.6462, PLCC=0.8421, RMSE=0.3643
Test results: test loss=0.0654, SROCC=0.7930, KROCC=0.5987, PLCC=0.7845, RMSE=0.3959
Test results: test loss=0.0728, SROCC=0.7801, KROCC=0.5821, PLCC=0.7708, RMSE=0.4330
Test results: test loss=0.0684, SROCC=0.7985, KROCC=0.6063, PLCC=0.7873, RMSE=0.4106
Test results: test loss=0.0651, SROCC=0.8461, KROCC=0.6532, PLCC=0.8310, RMSE=0.3837
Test results: test loss=0.0691, SROCC=0.7925, KROCC=0.5968, PLCC=0.7859, RMSE=0.4045
Test results: test loss=0.0636, SROCC=0.8373, KROCC=0.6446, PLCC=0.8197, RMSE=0.3817
Test results: test loss=0.0676, SROCC=0.7904, KROCC=0.6018, PLCC=0.7754, RMSE=0.4245
