EXP ID: 0
liveq
GSTVQA
Test results: test loss=0.0686, SROCC=0.8272, KROCC=0.6268, PLCC=0.8380, RMSE=6.2868
Test results: test loss=0.0762, SROCC=0.8082, KROCC=0.6488, PLCC=0.8338, RMSE=7.5906
Test results: test loss=0.0786, SROCC=0.8045, KROCC=0.6220, PLCC=0.8296, RMSE=6.7784
Test results: test loss=0.0697, SROCC=0.8110, KROCC=0.6220, PLCC=0.8456, RMSE=6.5706
Test results: test loss=0.0659, SROCC=0.8314, KROCC=0.6463, PLCC=0.8724, RMSE=6.3911
Test results: test loss=0.0698, SROCC=0.6834, KROCC=0.5073, PLCC=0.7690, RMSE=6.1133
Test results: test loss=0.0690, SROCC=0.8284, KROCC=0.6390, PLCC=0.8314, RMSE=6.6478
Test results: test loss=0.0612, SROCC=0.8847, KROCC=0.7073, PLCC=0.8886, RMSE=5.7611
Test results: test loss=0.0697, SROCC=0.7618, KROCC=0.5927, PLCC=0.7819, RMSE=6.5911
Test results: test loss=0.0874, SROCC=0.7704, KROCC=0.5829, PLCC=0.7565, RMSE=8.6169
