('Dloss', -0.02601117417216301, 'MseLoss', (0.24249349236488343, 0.09469878748059272, 0.015294364467263222), ' epoch:', 0)
('Dloss', -0.027058111876249312, 'MseLoss', (0.11910812631249428, 0.05220630913972855, 0.01639812719076872), ' epoch:', 1)
('Dloss', -0.028258667141199113, 'MseLoss', (0.09316291436553001, 0.040146731212735175, 0.017521968670189382), ' epoch:', 2)
('Dloss', -0.029755682684481144, 'MseLoss', (0.08235536366701127, 0.03304116390645504, 0.018857771158218385), ' epoch:', 3)
('Dloss', -0.030012653581798075, 'MseLoss', (0.0746067300438881, 0.029376631230115892, 0.019171164743602274), ' epoch:', 4)
('Dloss', -0.03082554992288351, 'MseLoss', (0.07257506884634495, 0.026613079383969306, 0.019852396473288535), ' epoch:', 5)
('Dloss', -0.03101430498063564, 'MseLoss', (0.06928970143198968, 0.02550714761018753, 0.02008947990834713), ' epoch:', 6)
('Dloss', -0.03246748615056276, 'MseLoss', (0.06831351816654205, 0.024120281264185906, 0.021388398483395576), ' epoch:', 7)
('Dloss', -0.033080624602735045, 'MseLoss', (0.070262211561203, 0.023553347773849966, 0.021789300069212914), ' epoch:', 8)
('Dloss', -0.03436451777815819, 'MseLoss', (0.06667224764823913, 0.022355204448103905, 0.023151339776813985), ' epoch:', 9)
('Dloss', -0.03544156402349472, 'MseLoss', (0.06585404947400093, 0.022309180349111557, 0.0240342041477561), ' epoch:', 10)
('Dloss', -0.035659079998731615, 'MseLoss', (0.06471659280359746, 0.021642488799989222, 0.024236135743558408), ' epoch:', 11)
('Dloss', -0.036593889072537425, 'MseLoss', (0.06781414672732353, 0.02192013505846262, 0.025118647329509258), ' epoch:', 12)
('Dloss', -0.037588034942746165, 'MseLoss', (0.062436013296246526, 0.02111786101013422, 0.02617564182728529), ' epoch:', 13)
('Dloss', -0.03825079686939716, 'MseLoss', (0.060835905373096466, 0.02111169807612896, 0.026588565297424795), ' epoch:', 14)
('Dloss', -0.040044869482517245, 'MseLoss', (0.058880851790308955, 0.020112361758947372, 0.028389233537018298), ' epoch:', 15)
('Dloss', -0.04170707017183304, 'MseLoss', (0.05945203676819801, 0.020169917866587637, 0.029814283922314645), ' epoch:', 16)
('Dloss', -0.04180478937923908, 'MseLoss', (0.060539161786437035, 0.020000308379530908, 0.029987144656479357), ' epoch:', 17)
('Dloss', -0.04441479444503784, 'MseLoss', (0.06081432104110718, 0.019908093102276325, 0.03226844929158688), ' epoch:', 18)
('Dloss', -0.04458419717848301, 'MseLoss', (0.05959777906537056, 0.019754742085933686, 0.032436341792345044), ' epoch:', 19)
('Dloss', -0.046295571327209475, 'MseLoss', (0.05949456170201302, 0.01961955614387989, 0.03421403169631958), ' epoch:', 20)
('Dloss', -0.044610171020030974, 'MseLoss', (0.06167261227965355, 0.019792467728257178, 0.032251650281250474), ' epoch:', 21)
('Dloss', -0.04841059595346451, 'MseLoss', (0.061944170668721196, 0.019978797249495982, 0.036108685471117494), ' epoch:', 22)
('Dloss', -0.04952860102057457, 'MseLoss', (0.05601516738533974, 0.019544118270277976, 0.03696504086256027), ' epoch:', 23)
('Dloss', -0.04922766461968422, 'MseLoss', (0.055361369624733925, 0.01960873231291771, 0.036726408265531064), ' epoch:', 24)
('Dloss', -0.04818071536719799, 'MseLoss', (0.05391784943640232, 0.018984600715339185, 0.03552004974335432), ' epoch:', 25)
('Dloss', -0.04961756467819214, 'MseLoss', (0.055557156726717946, 0.01888536084443331, 0.03677919339388609), ' epoch:', 26)
('Dloss', -0.05128685347735882, 'MseLoss', (0.05517724268138409, 0.01855835486203432, 0.038492060452699664), ' epoch:', 27)
('Dloss', -0.05158048272132874, 'MseLoss', (0.05409167930483818, 0.01861997935920954, 0.03847573399543762), ' epoch:', 28)
('Dloss', -0.05135244503617287, 'MseLoss', (0.05641713961958885, 0.018563202954828738, 0.03814695253968239), ' epoch:', 29)
('Dloss', -0.05270211473107338, 'MseLoss', (0.05159460306167603, 0.018005858827382325, 0.039359836280345915), ' epoch:', 30)
('Dloss', -0.05409510023891926, 'MseLoss', (0.0521169513463974, 0.018106440268456935, 0.040633991733193396), ' epoch:', 31)
('Dloss', -0.05405914299190044, 'MseLoss', (0.05128027088940144, 0.017518718261271715, 0.040450355783104894), ' epoch:', 32)
('Dloss', -0.05294074602425099, 'MseLoss', (0.055930982157588, 0.01784462183713913, 0.0389036163687706), ' epoch:', 33)
('Dloss', -0.05496305525302887, 'MseLoss', (0.05561930984258652, 0.017391996458172798, 0.04076141119003296), ' epoch:', 34)
('Dloss', -0.05559038706123829, 'MseLoss', (0.051157042384147644, 0.017626522108912468, 0.04154641591012478), ' epoch:', 35)
('Dloss', -0.054173024371266365, 'MseLoss', (0.056941159442067145, 0.01763869319111109, 0.03990127332508564), ' epoch:', 36)
('Dloss', -0.05662798471748829, 'MseLoss', (0.05208213478326797, 0.017122015450149776, 0.041795190796256064), ' epoch:', 37)
('Dloss', -0.057600062713027, 'MseLoss', (0.05271488204598427, 0.017085205670446156, 0.042285510897636415), ' epoch:', 38)
('Dloss', -0.059249574318528175, 'MseLoss', (0.050820087641477586, 0.01696427781134844, 0.04396429546177387), ' epoch:', 39)
('Dloss', -0.05881446823477745, 'MseLoss', (0.04869787357747555, 0.016457820683717726, 0.04354692548513413), ' epoch:', 40)
('Dloss', -0.058176803216338155, 'MseLoss', (0.04795962274074554, 0.016321456991136074, 0.04260668866336346), ' epoch:', 41)
('Dloss', -0.05792696736752987, 'MseLoss', (0.04744713939726353, 0.016317722387611866, 0.04220905117690563), ' epoch:', 42)
